date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,investingcom,charliebilello,peterlbrandt,raoulgmi,coinmarketcap,apompliano,cashapp
2020-07-08,24,0.03967500000000001,0,0,0,0,0,2,2,0,0,0
2020-07-07,8,0.45452499999999996,0,0,0,0,0,0,0,0,0,0
2020-07-06,10,0.19662000000000002,0,0,0,0,0,0,0,0,0,0
2020-07-05,2,0.4199,0,0,0,0,0,0,0,2,0,0
2020-07-04,4,0.83935,0,0,0,0,0,0,0,0,0,0
2020-07-03,8,0.456025,0,0,0,0,0,0,0,0,0,0
2020-07-02,16,0.3185375,0,0,0,0,0,0,0,0,0,0
2020-07-01,14,0.2055,0,0,0,0,0,0,0,0,0,0
2020-06-30,4,0.38965,0,0,0,0,0,0,0,0,0,0
2020-06-29,8,-0.09052499999999998,0,0,0,0,0,0,0,0,0,0
2020-06-28,8,0.45947499999999997,0,0,0,0,0,0,0,0,0,0
2020-06-27,18,0.2704111111111111,0,0,0,0,0,0,0,0,0,0
2020-06-26,14,0.21958571428571427,0,0,0,0,0,0,0,2,0,0
2020-06-25,14,0.13831428571428575,0,0,0,0,0,0,0,0,0,0
2020-06-24,14,0.3260428571428572,0,0,0,0,0,0,0,0,0,0
2020-06-23,34,0.26846470588235294,0,0,2,0,0,0,0,0,0,0
2020-06-22,18,0.2666777777777778,0,0,0,0,0,0,0,0,0,0
2020-06-21,4,-0.28595,0,0,0,0,0,0,0,0,0,0
2020-06-20,8,0.4224,0,0,0,0,0,0,0,0,0,0
2020-06-19,12,0.24835000000000004,0,0,2,0,0,0,0,0,0,0
2020-06-18,20,0.35557000000000005,0,0,0,0,0,0,2,0,0,0
2020-06-17,20,0.023059999999999987,0,0,2,0,0,0,0,0,0,0
2020-06-16,2,0.6597,0,0,0,0,0,0,0,0,0,0
2020-06-15,24,0.141425,0,0,0,0,0,0,0,0,0,0
2020-06-14,8,0.035525,0,0,0,0,0,0,0,0,0,0
2020-06-13,10,0.12374,0,0,2,0,0,0,0,0,0,0
2020-06-12,4,-0.084,0,0,0,0,0,0,0,0,0,0
2020-06-11,14,0.37465714285714297,0,0,0,0,0,0,0,0,0,0
2020-06-10,10,0.12846000000000002,0,0,4,0,0,0,0,0,0,0
2020-06-09,14,0.0515285714285714,0,0,0,0,0,0,0,0,0,0
2020-06-08,16,0.260275,0,0,0,0,0,0,0,0,0,0
2020-06-06,14,0.05010000000000001,0,0,2,0,0,0,0,2,0,0
2020-06-05,18,0.24604444444444448,0,0,4,0,0,0,0,0,0,0
2020-06-04,20,0.258,0,0,0,0,0,0,0,0,0,0
2020-06-03,14,0.2835857142857142,0,0,4,0,0,0,0,0,0,0
2020-06-02,30,0.08912666666666667,0,0,2,0,0,0,2,2,2,0
2020-06-01,16,0.25360000000000005,0,0,0,0,0,0,0,0,0,0
2020-05-31,2,0.2023,0,0,0,0,0,0,0,0,0,0
2020-05-30,2,0.9493,0,0,0,0,0,0,0,0,0,0
2020-05-29,18,0.2684666666666667,0,0,0,0,0,0,0,0,0,0
2020-05-28,22,0.18513636363636365,0,0,0,0,0,0,0,0,0,0
2020-05-27,12,0.21873333333333336,0,0,0,0,0,0,0,0,0,0
2020-05-26,14,0.10739999999999997,0,0,0,0,0,0,0,0,0,0
2020-05-25,18,-0.011555555555555572,0,0,2,0,0,0,0,2,0,0
2020-05-24,2,0.5106,0,0,0,0,0,0,0,0,0,0
