date,tweet_count,daily_sent,narendramodi,amitshah,eos,brendanblumer,ryangirdusky,sentedcruz,elienyc,binance,whcos,yamiche
2020-06-29,64,0.05822499999999998,0,0,1,0,0,0,0,0,0,0
2020-06-28,16,0.40324999999999994,0,0,1,0,0,0,0,0,0,0
2020-06-27,48,-0.06718333333333333,0,0,0,0,0,0,0,0,0,0
2020-06-26,64,0.40506250000000016,0,0,0,0,0,0,0,1,0,0
2020-06-25,56,0.037414285714285726,0,0,1,0,0,0,0,0,0,0
2020-06-24,8,0.0,0,0,0,0,0,0,0,0,0,0
2020-06-23,32,-0.21922499999999998,0,0,0,0,0,0,0,1,0,0
2020-06-22,64,0.2821624999999999,0,0,0,0,0,0,0,1,0,0
2020-06-21,24,0.26536666666666664,0,0,0,0,0,0,0,0,0,0
2020-06-20,24,0.37466666666666665,0,0,0,0,0,0,0,0,0,0
2020-06-19,80,0.34425,0,0,0,1,0,0,0,0,0,0
2020-06-18,96,0.3900666666666666,0,0,1,0,0,0,0,0,0,0
2020-06-17,80,0.2626199999999999,0,0,1,0,0,0,0,0,0,0
2020-06-16,48,-0.12845000000000004,0,0,0,0,0,0,0,0,0,0
2020-06-15,56,0.14344285714285723,0,0,0,0,0,0,0,0,0,0
2020-06-14,24,0.5310666666666666,0,0,1,0,0,0,0,0,0,0
2020-06-13,96,0.2831,0,0,1,0,0,0,0,1,0,0
2020-06-12,88,0.499718181818182,0,0,1,0,0,0,0,0,0,0
2020-06-11,64,0.03151249999999999,0,0,0,0,0,0,0,0,0,0
2020-06-10,96,0.023141666666666654,0,0,0,0,0,0,0,1,0,0
2020-06-09,48,0.43805000000000005,0,0,0,1,0,0,0,1,0,0
2020-06-08,24,0.11753333333333332,0,0,0,0,0,0,0,0,0,0
2020-06-07,56,0.2826571428571429,0,0,0,0,0,0,0,0,0,0
2020-06-06,72,0.4095555555555558,0,0,0,0,0,0,0,1,0,0
2020-06-05,56,0.28518571428571426,0,0,1,0,0,0,0,0,0,0
2020-06-04,48,0.42526666666666674,0,0,0,1,0,0,0,1,0,0
2020-06-03,64,0.055049999999999995,0,0,0,0,0,0,0,0,0,0
2020-06-02,72,0.3498555555555557,0,0,0,1,0,0,0,1,0,0
2020-06-01,48,0.2076666666666667,0,0,0,0,0,0,0,0,0,0
2020-05-31,24,0.3743333333333334,0,0,1,0,0,0,0,1,0,0
2020-05-30,56,0.5339571428571431,0,0,0,1,0,0,0,1,0,0
2020-05-29,64,0.3194999999999999,0,0,0,1,0,0,0,0,0,0
2020-05-28,160,0.18124000000000012,0,0,0,1,0,0,0,1,0,0
2020-05-27,96,0.15574999999999997,0,0,0,0,0,0,0,1,0,0
2020-05-26,144,0.15109999999999993,0,0,1,0,0,0,0,1,0,0
2020-05-25,32,0.19232500000000005,0,0,0,0,0,0,0,0,0,0
2020-05-24,24,0.1348666666666667,0,0,0,0,0,0,0,1,0,0
2020-05-23,72,0.21553333333333322,0,0,0,1,0,0,0,0,0,0
2020-05-22,80,0.4307099999999999,0,0,0,1,0,0,0,1,0,0
