,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,narendramodi,amitshah,ryangirdusky,sentedcruz,brendanblumer,elienyc,binance,whcos,yamiche,rashtrapatibhvn,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
353,353,353,6.4628,6.8995,6.2036,6.4948,12660869.17,1558051199999,83293545.350369,145846,6771211.28,44568684.004772,2019-05-16,7.0,0.0496285714285714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.7192428571428575,5.1418800000000005,4.277489999999999,0.7666618347485987,0.8728239828517961,0.769587447757802,0.3800116877947351,0.38957575996306687,26.149714463155373
354,354,354,6.4941,6.5761,5.7086,6.0353,14700468.56,1558137599999,88054228.118962,168209,7609818.15,45615410.140815,2019-05-17,12.0,0.0981666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8938,5.162546666666667,4.314417,0.6539128744615321,0.6563617849071174,0.5753677705795779,0.41908290435170376,0.15628486622787413,26.556368232033304
355,355,355,6.0343,6.08,5.81,5.8813,5017000.48,1558223999999,29784254.416172,62392,2569088.57,15255150.207232,2019-05-18,4.0,-0.1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.960771428571429,5.176410000000001,4.3498149999999995,0.7159565098145457,0.6563617849071174,0.39638139243037607,0.41454260196743825,-0.018161209537062184,26.755748913657463
356,356,356,5.8807,6.582,5.8702,6.4581,8530699.96,1558310399999,53450049.33204,95776,4269649.16,26736811.846282,2019-05-19,2.0,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121657142857143,5.20986,4.387176999999999,0.7531826910263539,0.7425640858963578,0.5038885357370297,0.43241178872135655,0.07147674701567319,26.812288130648973
357,357,357,6.4578,6.4625,5.981,6.2144,6892479.87,1558396799999,42818569.596015,93783,3634692.69,22578558.16736,2019-05-20,5.0,-0.06258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.221071428571429,5.236103333333333,4.421603,0.7755183997534387,0.7425640858963579,0.42752572878744477,0.4314345767345742,-0.0039088479471294235,26.835683532165575
358,358,358,6.215,6.36,6.0744,6.2589,4827968.92,1558483199999,30118160.345732,68905,2560971.22,15981251.838849,2019-05-21,3.0,0.3261666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.258171428571429,5.271443333333333,4.455799,0.8157990931164236,0.7425640858963579,0.38225013052346224,0.42159768749235177,-0.03934755696888953,26.719209994225153
359,359,359,6.2561,6.3413,5.7839,5.9285,6061932.3,1558569599999,37000028.551438,79180,3015324.39,18417262.78418,2019-05-22,10.0,0.0993399999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.181614285714285,5.295106666666667,4.487584,0.8583157410534752,0.6071663918154864,0.21600069590750515,0.38047828917538246,-0.1644775932678773,26.748183416180037
360,360,360,5.9289,6.1,5.7227,6.0157,4244266.89,1558655999999,24988190.00439,57383,2233595.05,13152668.693514,2019-05-23,8.0,0.5199750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1131714285714285,5.325519999999999,4.518276,0.8383790011968849,0.5813970490279033,0.1615325611800893,0.33668914357632385,-0.17515658239623455,26.80496343936469
361,361,361,6.0178,6.5974,5.9624,6.4064,7148160.67,1558742399999,45101433.579869,95233,3739240.92,23596339.397928,2019-05-24,7.0,0.1497714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166185714285715,5.379966666666666,4.553776,0.826416957282931,0.7005730425652142,0.27041753205287034,0.32343482127163314,-0.05301728921876281,26.886979082385228
362,362,362,6.4066,6.5407,6.2511,6.3603,4550757.26,1558828799999,29090237.868799,58312,2293032.68,14661946.464033,2019-05-25,,,,,,,,,,,,,6.234614285714285,5.43827,4.589951999999999,0.8863188559755032,0.7005730425652144,0.28266985062755,0.31528182714281655,-0.03261197651526654,26.855802883760322
