,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,charliebilello,huobiglobal,binance,vitalikbuterin,coinmarketcap,eth_classic,grayscale,investingcom,scottmelker,justinsuntron,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
269,269,269,684.56,742.0,666.31,729.08,136022.39207,1526255999999,96516164.9841859,116733,70003.23059,49661581.1995488,2018-05-13,2.0,0.60465,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,723.6999999999999,663.569,668.5006,0.6426955308281435,0.48809238789537424,-1.7686169955956075,21.471832443260936,-23.240449438856544,27.02932312407619
270,270,270,729.08,743.9,686.0,727.49,183466.9224,1526342399999,131397089.1149141,152787,89358.81076,64060315.6222562,2018-05-14,2.0,0.4037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1285714285715,671.0626666666666,666.0655,0.608307559924916,0.4929268600812216,3.925874517382681,17.962640858085287,-14.036766340702606,27.04576015670371
271,271,271,727.49,740.0,695.0,704.91,127191.21863,1526428799999,91869541.8424722,115906,65194.99165,47126392.0628973,2018-05-15,,,,,,,,,,,,,713.8314285714287,676.7636666666666,664.8789999999999,0.6942563562516786,0.49292686008122166,-2.1475707948188756,13.940598527504454,-16.08816932232333,26.890894012805905
272,272,272,704.91,712.84,673.52,706.29,118902.46895,1526515199999,82315246.5132033,121956,59502.98405,41222835.6042182,2018-05-16,,,,,,,,,,,,,707.3371428571429,683.2579999999999,664.9627,0.7874018295195765,0.43157963645264286,-4.130225710451668,10.32643367991323,-14.456659390364898,26.66912695834906
273,273,273,706.8,719.25,662.0,667.62,106723.38375,1526601599999,74320001.2537688,109610,51643.55118,35999130.5530208,2018-05-17,4.0,0.173675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,699.4942857142858,688.76,663.8464,0.8572457862657998,0.4007181030772375,-18.893027793195756,4.482541385291431,-23.375569178487186,26.46206699493238
274,274,274,667.62,694.9,656.0,692.6,106541.66307,1526687999999,72118376.5238014,114419,54699.90084,37057267.6212127,2018-05-18,2.0,0.2202,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,701.7285714285715,694.3103333333333,663.2324000000001,0.7932683448107721,0.3842072763692029,-14.871373509505247,0.6117584063320942,-15.48313191583734,26.31081818677639
275,275,275,693.26,717.8,682.31,697.0,88828.85641,1526774399999,62026599.8097705,99860,45052.07989,31452211.2151965,2018-05-19,1.0,0.8268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.5699999999999,698.6056666666667,662.3858,0.8241819584310978,0.4787831648591335,-10.523898419272314,-1.615372958788788,-8.908525460483526,26.045557907907376
276,276,276,697.0,729.88,688.4,716.16,86004.7409,1526860799999,61227466.2924883,91685,43571.09472,31042626.1070053,2018-05-20,2.0,0.3863499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.7242857142858,701.908,660.7774,0.8024776437978098,0.5233418398550306,-0.9130659855532031,-1.4749115641416712,0.5618455785884682,25.6078147993027
277,277,277,716.16,720.46,688.0,696.7,96085.15451,1526947199999,67799023.5499843,89438,43697.4856,30857840.2883645,2018-05-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.3257142857143,704.9689999999999,659.2329000000001,0.8484786986370751,0.5216380185924423,-3.822834198571286,-1.9444960910275946,-1.8783381075436913,25.206129183461222
278,278,278,697.1,699.6,637.32,640.99,107059.5769,1527033599999,72112726.836348,110915,50607.50277,34122130.8763641,2018-05-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,688.1942857142857,705.638,657.5528999999999,0.9029331190318174,0.35342480035844065,-25.255878144307758,-6.606772501683628,-18.64910564262413,24.97890726474339
279,279,279,640.86,669.0,560.0,577.19,257099.77096,1527119999999,155638543.7608657,203100,120864.87161,73183522.6347508,2018-05-23,2.0,0.43445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,669.7514285714286,703.3746666666667,654.6582,0.9370822890171503,0.22544627662956307,-56.25313864450641,-16.536045730248187,-39.71709291425822,24.995645415422704
280,280,280,577.19,612.1,550.0,602.18,195854.62497,1527206399999,114324332.2609641,159755,97510.70429,56938498.134647,2018-05-24,2.0,0.53575,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,660.4028571428571,700.0613333333333,652.2643,0.7361586469364408,0.21388826584100482,-56.772075618292206,-24.583251707856995,-32.18882391043521,25.083507716705
281,281,281,602.08,617.46,568.7,585.55,118076.26273,1527292799999,70118224.9343135,115243,58137.51406,34559969.4027094,2018-05-25,,,,,,,,,,,,,645.11,698.9796666666666,648.9289,0.6156044616880152,0.23804736304845972,-59.30980993237995,-31.52856335276159,-27.781246579618358,25.18270562193547
282,282,282,585.56,607.62,578.32,586.0,77654.12532,1527379199999,46205282.6853549,76446,39888.62561,23724451.1905669,2018-05-26,,,,,,,,,,,,,629.2528571428572,696.4626666666667,645.5434,0.7483604664758148,0.2380473630484597,-56.290507472992545,-36.48095217680778,-19.80955529618476,25.184921914756913
283,283,283,586.03,592.0,557.43,570.4,97097.26713,1527465599999,55737244.5191023,90855,49860.49139,28594913.180964,2018-05-27,,,,,,,,,,,,,608.4300000000001,694.0273333333333,641.8607,0.8462835421185296,0.2053079003565371,-56.94944257572513,-40.574650256591255,-16.374792319133874,25.19863544595222
284,284,284,570.81,576.2,506.11,511.5,153197.83278,1527551999999,81950608.3901462,136137,72896.6593,38990869.402027,2018-05-28,2.0,0.04115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,581.9728571428572,688.3153333333333,637.2758,0.9050373875041584,0.1477188225165373,-75.03501828186086,-47.46672386164518,-27.56829442021568,25.082971295577217
285,285,285,511.5,573.43,510.0,567.36,189082.83788,1527638399999,103113233.70003,128067,98238.0377,53465712.4035753,2018-05-29,1.0,-0.296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,571.4542857142858,684.199,633.8394000000001,0.6673078952339992,0.14771882251653734,-57.38776653572904,-49.45093239646196,-7.936834139267084,25.03655230500551
286,286,286,567.09,585.83,541.2,557.19,122132.2701,1527724799999,68698935.1823503,94311,62301.91063,35039310.0785943,2018-05-30,2.0,0.7667999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,568.5971428571429,680.4126666666667,630.0301999999999,0.5590467335113772,0.21825775686180132,-49.64377301002321,-49.489500519174214,-0.15427249084899586,24.98564463000434
287,287,287,557.87,586.73,552.98,577.81,100101.52276,1527811199999,57312700.8700542,88463,52802.56771,30225262.6202169,2018-05-31,2.0,-0.20095,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,565.1157142857143,677.2729999999999,626.9784000000001,0.6376049783626105,0.22363894861144998,-35.41779094821584,-46.67515860498254,11.257367656766704,24.795118762564645
288,288,288,577.81,590.26,564.93,579.0,83840.84162,1527897599999,48334174.7645864,85475,43154.5206,24878100.1634854,2018-06-01,4.0,-0.477325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,564.1800000000001,673.621,624.4095000000001,0.7647864612880542,0.247093966429126,-26.455679324885068,-42.63126274896305,16.175583424077985,24.471483641103873
289,289,289,579.0,599.17,572.9,590.85,80258.14719,1527983999999,47346968.1318188,81067,34652.44538,20427136.5353649,2018-06-02,1.0,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.8728571428571,667.3493333333334,622.3031000000001,0.8569325327401296,0.30798307931581115,-16.4633856664492,-37.397687332460286,20.934301666011088,24.18622611347084
290,290,290,590.85,628.81,590.1,619.66,84123.33235,1528070399999,51660963.9070336,83803,40226.93765,24693632.8654554,2018-06-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,571.91,661.8050000000001,619.9837,0.5348077401524829,0.4719114212369071,-0.47216603669710366,-30.01258307330765,29.540417036610545,23.9902145281719
291,291,291,619.66,625.47,580.15,591.02,96339.44507,1528156799999,57791317.7268969,86009,49160.85834,29506398.8343072,2018-06-04,2.0,0.1591,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,583.27,654.189,617.5545000000001,0.545316236656579,0.43225026350038864,-4.012493128024744,-24.81256508425107,20.800071956226326,23.883528737164404
292,292,292,591.02,614.0,570.36,609.05,89053.74351,1528243199999,52918830.2092289,86957,44401.6694,26411381.7894578,2018-06-05,3.0,0.3188666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.2257142857143,648.014,615.2330999999999,0.5516213345590367,0.39459988304278876,1.3318646742683313,-19.58367913254719,20.91554380681552,23.769534669447932
